id,datetime,title,hazard_codes,primary_country,collection
gdacs-event-4206,2014-11-07T00:00:00Z,Flood in Thailand,FL,,gdacs-events
gdacs-event-4200,2014-10-22T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4198,2014-10-12T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4188,2014-09-24T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4179,2014-09-01T00:00:00Z,Flood in Pakistan,FL,,gdacs-events
gdacs-event-4178,2014-08-20T00:00:00Z,Flood in Bangladesh,FL,,gdacs-events
gdacs-event-4176,2014-08-15T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4174,2014-08-14T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4170,2014-08-12T00:00:00Z,Flood in Nepal,FL,,gdacs-events
gdacs-event-4171,2014-08-11T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4165,2014-07-20T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4161,2014-07-13T00:00:00Z,Flood in Bangladesh,FL,,gdacs-events
gdacs-event-4156,2014-07-11T00:00:00Z,Flood in Thailand,FL,,gdacs-events
gdacs-event-4154,2014-06-23T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4145,2014-06-04T00:00:00Z,Flood in Sri Lanka,FL,,gdacs-events
gdacs-event-4144,2014-06-03T00:00:00Z,Flood in Afghanistan,FL,,gdacs-events
gdacs-event-4136,2014-04-20T00:00:00Z,Flood in Afghanistan,FL,,gdacs-events
emdat-event-2014-0494-MYS,2014-12-16T00:00:00Z,Riverine flood in Malaysia,nat-hyd-flo-riv,MYS,emdat-events
emdat-event-2014-0522-THA,2014-12-13T00:00:00Z,Riverine flood in Thailand,nat-hyd-flo-riv,THA,emdat-events
emdat-event-2014-0493-THA,2014-12-01T00:00:00Z,Riverine flood in Thailand,nat-hyd-flo-riv,THA,emdat-events
emdat-event-2014-0473-IDN,2014-11-22T00:00:00Z,Riverine flood in Indonesia,nat-hyd-flo-riv,IDN,emdat-events
emdat-event-2014-0471-THA,2014-11-07T00:00:00Z,Flash flood in Thailand,nat-hyd-flo-fla,THA,emdat-events
emdat-event-2014-0391-IND,2014-09-24T00:00:00Z,Riverine flood in India,nat-hyd-flo-riv,IND,emdat-events
emdat-event-2014-0412-MMR,2014-09-17T00:00:00Z,Riverine flood in Myanmar,nat-hyd-flo-riv,MMR,emdat-events
emdat-event-2014-0389-CHN,2014-09-10T00:00:00Z,Riverine flood in China,nat-hyd-flo-riv,CHN,emdat-events
emdat-event-2014-0581-BGD,2014-09-01T00:00:00Z,Flood (General) in Bangladesh,nat-hyd-flo-flo,BGD,emdat-events
emdat-event-2014-0345-THA,2014-09-01T00:00:00Z,Riverine flood in Thailand,nat-hyd-flo-riv,THA,emdat-events
emdat-event-2014-0344-CHN,2014-09-01T00:00:00Z,Riverine flood in China,nat-hyd-flo-riv,CHN,emdat-events
emdat-event-2014-0343-PAK,2014-09-01T00:00:00Z,Riverine flood in Pakistan,nat-hyd-flo-riv,PAK,emdat-events
emdat-event-2014-0343-IND,2014-09-01T00:00:00Z,Riverine flood in India,nat-hyd-flo-riv,IND,emdat-events
emdat-event-2014-0323-CHN,2014-08-22T00:00:00Z,Riverine flood in China,nat-hyd-flo-riv,CHN,emdat-events
emdat-event-2014-0408-IND,2014-08-16T00:00:00Z,Riverine flood in India,nat-hyd-flo-riv,IND,emdat-events
emdat-event-2014-0321-CHN,2014-08-11T00:00:00Z,Flash flood in China,nat-hyd-flo-fla,CHN,emdat-events
emdat-event-2014-0290-BGD,2014-08-11T00:00:00Z,Riverine flood in Bangladesh,nat-hyd-flo-riv,BGD,emdat-events
emdat-event-2014-0272-NPL,2014-08-11T00:00:00Z,Flood (General) in Nepal,nat-hyd-flo-flo,NPL,emdat-events
emdat-event-2014-0409-IND,2014-08-09T00:00:00Z,Riverine flood in India,nat-hyd-flo-riv,IND,emdat-events
emdat-event-2014-0313-IND,2014-08-03T00:00:00Z,Riverine flood in India,nat-hyd-flo-riv,IND,emdat-events
emdat-event-2014-0413-MMR,2014-08-01T00:00:00Z,Riverine flood in Myanmar,nat-hyd-flo-riv,MMR,emdat-events
