id,datetime,title,hazard_codes,primary_country,collection
emdat-event-2014-0392-IND,2014-10-12T00:00:00Z,Storm (Tropical cyclone) in India of October 2014,nat-met-sto-tro,IND,emdat-events
emdat-event-2014-0227-CHN,2014-07-18T00:00:00Z,Storm (Tropical cyclone) in China of July 2014,nat-met-sto-tro,CHN,emdat-events
glide-event-TC-2014-000141-IND,2014-10-12T00:00:00Z,,nat-met-sto-tro;TC,IND,glide-events
emdat-event-2015-0620-THA,2015-09-15T00:00:00Z,Storm (Tropical cyclone) in Thailand of September 2015,nat-met-sto-tro,THA,emdat-events
emdat-event-2015-0309-BGD,2015-07-29T00:00:00Z,Storm (Tropical cyclone) in Bangladesh of July 2015,nat-met-sto-tro,BGD,emdat-events
glide-event-TC-2015-000163-IND,2015-11-08T00:00:00Z,,nat-met-sto-tro;TC,IND,glide-events
glide-event-TC-2015-000101-BGD,2015-07-29T00:00:00Z,,nat-met-sto-tro;TC,BGD,glide-events
emdat-event-2016-0485-IND,2016-12-12T00:00:00Z,Storm (Tropical cyclone) in India of December 2016,nat-met-sto-tro,IND,emdat-events
emdat-event-2016-0175-BGD,2016-05-21T00:00:00Z,Storm (Tropical cyclone) in Bangladesh of May 2016,nat-met-sto-tro,BGD,emdat-events
glide-event-TC-2016-000129-IND,2016-12-08T00:00:00Z,,nat-met-sto-tro;TC,IND,glide-events
glide-event-TC-2016-000052-MMR,2016-05-20T00:00:00Z,,nat-met-sto-tro;TC,MMR,glide-events
glide-event-TC-2016-000052-IND,2016-05-20T00:00:00Z,,nat-met-sto-tro;TC,IND,glide-events
glide-event-TC-2016-000052-BGD,2016-05-20T00:00:00Z,,nat-met-sto-tro;TC,BGD,glide-events
emdat-event-2017-0508-IND,2017-12-02T00:00:00Z,Storm (Tropical cyclone) in India of December 2017,nat-met-sto-tro,IND,emdat-events
emdat-event-2017-0508-LKA,2017-11-29T00:00:00Z,Storm (Tropical cyclone) in Sri Lanka of November 2017,nat-met-sto-tro,LKA,emdat-events
emdat-event-2017-0406-THA,2017-09-17T00:00:00Z,Storm (Tropical cyclone) in Thailand of September 2017,nat-met-sto-tro,THA,emdat-events
emdat-event-2017-0485-CHN,2017-08-27T00:00:00Z,Storm (Tropical cyclone) in China of August 2017,nat-met-sto-tro,CHN,emdat-events
emdat-event-2017-0352-CHN,2017-08-24T00:00:00Z,Storm (Tropical cyclone) in China of August 2017,nat-met-sto-tro,CHN,emdat-events
emdat-event-2017-0152-MMR,2017-06-01T00:00:00Z,Storm (Tropical cyclone) in Myanmar of June 2017,nat-met-sto-tro,MMR,emdat-events
emdat-event-2017-0152-IND,2017-05-30T00:00:00Z,Storm (Tropical cyclone) in India of May 2017,nat-met-sto-tro,IND,emdat-events
emdat-event-2017-0152-BGD,2017-05-30T00:00:00Z,Storm (Tropical cyclone) in Bangladesh of May 2017,nat-met-sto-tro,BGD,emdat-events
glide-event-TC-2017-000172-LKA,2017-11-30T00:00:00Z,,nat-met-sto-tro;TC,LKA,glide-events
glide-event-TC-2017-000172-IND,2017-11-30T00:00:00Z,,nat-met-sto-tro;TC,IND,glide-events
glide-event-TC-2017-000058-MMR,2017-05-30T00:00:00Z,,nat-met-sto-tro;TC,MMR,glide-events
glide-event-TC-2017-000058-BGD,2017-05-30T00:00:00Z,,nat-met-sto-tro;TC,BGD,glide-events
emdat-event-2018-0473-IND,2018-12-17T00:00:00Z,Storm (Tropical cyclone) in India of December 2018,nat-met-sto-tro,IND,emdat-events
emdat-event-2018-0431-IND,2018-11-16T00:00:00Z,Storm (Tropical cyclone) in India of November 2018,nat-met-sto-tro,IND,emdat-events
emdat-event-2018-0385-IND,2018-10-11T00:00:00Z,Storm (Tropical cyclone) in India of October 2018,nat-met-sto-tro,IND,emdat-events
emdat-event-2018-0309-CHN,2018-08-22T00:00:00Z,Storm (Tropical cyclone) in China of August 2018,nat-met-sto-tro,CHN,emdat-events
glide-event-TC-2018-000413-IND,2018-11-15T00:00:00Z,,nat-met-sto-tro;TC,IND,glide-events
glide-event-TC-2018-000162-IND,2018-10-10T00:00:00Z,,nat-met-sto-tro;TC,IND,glide-events
emdat-event-2019-0550-IND,2019-11-09T00:00:00Z,Storm (Tropical cyclone) in India of November 2019,nat-met-sto-tro,IND,emdat-events
emdat-event-2019-0550-BGD,2019-11-09T00:00:00Z,Storm (Tropical cyclone) in Bangladesh of November 2019,nat-met-sto-tro,BGD,emdat-events
emdat-event-2019-0424-CHN,2019-09-05T00:00:00Z,Storm (Tropical cyclone) in China of September 2019,nat-met-sto-tro,CHN,emdat-events
emdat-event-2019-0164-BGD,2019-05-04T00:00:00Z,Storm (Tropical cyclone) in Bangladesh of May 2019,nat-met-sto-tro,BGD,emdat-events
emdat-event-2019-0164-IND,2019-05-03T00:00:00Z,Storm (Tropical cyclone) in India of May 2019,nat-met-sto-tro,IND,emdat-events
emdat-event-2019-0009-THA,2019-01-04T00:00:00Z,Storm (Tropical cyclone) in Thailand of January 2019,nat-met-sto-tro,THA,emdat-events
glide-event-TC-2019-000147-BGD,2019-11-09T00:00:00Z,,nat-met-sto-tro;TC,BGD,glide-events
glide-event-TC-2019-000041-IND,2019-05-03T00:00:00Z,,nat-met-sto-tro;TC,IND,glide-events
glide-event-TC-2019-000001-THA,2019-01-04T00:00:00Z,,nat-met-sto-tro;TC,THA,glide-events
emdat-event-2020-0524-IND,2020-11-25T00:00:00Z,Storm (Tropical cyclone) in India of November 2020,nat-met-sto-tro,IND,emdat-events
emdat-event-2020-0411-THA,2020-10-09T00:00:00Z,Storm (Tropical cyclone) in Thailand of October 2020,nat-met-sto-tro,THA,emdat-events
emdat-event-2020-0462-THA,2020-09-18T00:00:00Z,Storm (Tropical cyclone) in Thailand of September 2020,nat-met-sto-tro,THA,emdat-events
emdat-event-2020-0217-IND,2020-06-03T00:00:00Z,Storm (Tropical cyclone) in India of June 2020,nat-met-sto-tro,IND,emdat-events
emdat-event-2020-0211-IND,2020-05-20T00:00:00Z,Storm (Tropical cyclone) in India of May 2020,nat-met-sto-tro,IND,emdat-events
emdat-event-2020-0211-BGD,2020-05-20T00:00:00Z,Storm (Tropical cyclone) in Bangladesh of May 2020,nat-met-sto-tro,BGD,emdat-events
emdat-event-2020-0211-LKA,2020-05-17T00:00:00Z,Storm (Tropical cyclone) in Sri Lanka of May 2020,nat-met-sto-tro,LKA,emdat-events
glide-event-TC-2020-000233-IND,2020-11-25T00:00:00Z,,nat-met-sto-tro;TC,IND,glide-events
glide-event-TC-2020-000145-IND,2020-06-03T00:00:00Z,,nat-met-sto-tro;TC,IND,glide-events
glide-event-TC-2020-000137-BGD,2020-05-18T00:00:00Z,,nat-met-sto-tro;TC,BGD,glide-events
glide-event-TC-2020-000136-MMR,2020-05-18T00:00:00Z,,nat-met-sto-tro;TC,MMR,glide-events
emdat-event-2021-0777-IND,2021-12-04T00:00:00Z,Storm (Tropical cyclone) in India of December 2021,nat-met-sto-tro,IND,emdat-events
emdat-event-2021-0645-IND,2021-10-03T00:00:00Z,Storm (Tropical cyclone) in India of October 2021,nat-met-sto-tro,IND,emdat-events
emdat-event-2021-0645-IRN,2021-10-01T00:00:00Z,Storm (Tropical cyclone) in Iran (Islamic Republic of) of October 2021,nat-met-sto-tro,IRN,emdat-events
emdat-event-2021-0630-IND,2021-09-26T00:00:00Z,Storm (Tropical cyclone) in India of September 2021,nat-met-sto-tro,IND,emdat-events
emdat-event-2021-0295-IND,2021-05-25T00:00:00Z,Storm (Tropical cyclone) in India of May 2021,nat-met-sto-tro,IND,emdat-events
emdat-event-2021-0295-BGD,2021-05-25T00:00:00Z,Storm (Tropical cyclone) in Bangladesh of May 2021,nat-met-sto-tro,BGD,emdat-events
emdat-event-2021-0252-MDV,2021-05-16T00:00:00Z,Storm (Tropical cyclone) in Maldives of May 2021,nat-met-sto-tro,MDV,emdat-events
emdat-event-2021-0252-LKA,2021-05-16T00:00:00Z,Storm (Tropical cyclone) in Sri Lanka of May 2021,nat-met-sto-tro,LKA,emdat-events
emdat-event-2021-0252-IND,2021-05-14T00:00:00Z,Storm (Tropical cyclone) in India of May 2021,nat-met-sto-tro,IND,emdat-events
glide-event-TC-2021-000058-BGD,2021-05-26T00:00:00Z,,nat-met-sto-tro;TC,BGD,glide-events
emdat-event-2022-0798-IND,2022-12-09T00:00:00Z,Storm (Tropical cyclone) in India of December 2022,nat-met-sto-tro,IND,emdat-events
emdat-event-2022-0798-LKA,2022-12-06T00:00:00Z,Storm (Tropical cyclone) in Sri Lanka of December 2022,nat-met-sto-tro,LKA,emdat-events
emdat-event-2022-0695-BGD,2022-10-24T00:00:00Z,Storm (Tropical cyclone) in Bangladesh of October 2022,nat-met-sto-tro,BGD,emdat-events
glide-event-TC-2022-000229-IND,2022-05-11T00:00:00Z,,nat-met-sto-tro;TC,IND,glide-events
emdat-event-2023-0792-IND,2023-12-05T00:00:00Z,Storm (Tropical cyclone) in India of December 2023,nat-met-sto-tro,IND,emdat-events
emdat-event-2023-0686-BGD,2023-10-24T00:00:00Z,Storm (Tropical cyclone) in Bangladesh of October 2023,nat-met-sto-tro,BGD,emdat-events
emdat-event-2023-0623-CHN,2023-10-06T00:00:00Z,Storm (Tropical cyclone) in China of October 2023,nat-met-sto-tro,CHN,emdat-events
emdat-event-2023-0568-CHN,2023-09-03T00:00:00Z,Storm (Tropical cyclone) in China of September 2023,nat-met-sto-tro,CHN,emdat-events
emdat-event-2023-0464-CHN,2023-07-27T00:00:00Z,Storm (Tropical cyclone) in China of July 2023,nat-met-sto-tro,CHN,emdat-events
emdat-event-2023-0331-IND,2023-06-19T00:00:00Z,Storm (Tropical cyclone) in India of June 2023,nat-met-sto-tro,IND,emdat-events
emdat-event-2023-0331-PAK,2023-06-15T00:00:00Z,Storm (Tropical cyclone) in Pakistan of June 2023,nat-met-sto-tro,PAK,emdat-events
emdat-event-2023-0294-MMR,2023-05-14T00:00:00Z,Storm (Tropical cyclone) in Myanmar of May 2023,nat-met-sto-tro,MMR,emdat-events
emdat-event-2023-0294-IND,2023-05-14T00:00:00Z,Storm (Tropical cyclone) in India of May 2023,nat-met-sto-tro,IND,emdat-events
emdat-event-2023-0294-BGD,2023-05-13T00:00:00Z,Storm (Tropical cyclone) in Bangladesh of May 2023,nat-met-sto-tro,BGD,emdat-events
glide-event-TC-2023-000230-BGD,2023-11-17T00:00:00Z,,nat-met-sto-tro;TC,BGD,glide-events
glide-event-TC-2023-000208-BGD,2023-10-23T00:00:00Z,,nat-met-sto-tro;TC,BGD,glide-events
glide-event-TC-2023-000096-PAK,2023-06-12T00:00:00Z,,nat-met-sto-tro;TC,PAK,glide-events
glide-event-TC-2023-000095-IND,2023-06-12T00:00:00Z,,nat-met-sto-tro;TC,IND,glide-events
glide-event-TC-2023-000071-BGD,2023-05-14T00:00:00Z,,nat-met-sto-tro;TC,BGD,glide-events
glide-event-TC-2023-000069-MMR,2023-05-11T00:00:00Z,,nat-met-sto-tro;TC,MMR,glide-events
emdat-event-2024-0881-IND,2024-12-01T00:00:00Z,Storm (Tropical cyclone) in India of December 2024,nat-met-sto-tro,IND,emdat-events
emdat-event-2024-0881-LKA,2024-11-25T00:00:00Z,Storm (Tropical cyclone) in Sri Lanka of November 2024,nat-met-sto-tro,LKA,emdat-events
emdat-event-2024-0777-CHN,2024-10-27T00:00:00Z,Storm (Tropical cyclone) in China of October 2024,nat-met-sto-tro,CHN,emdat-events
emdat-event-2024-0778-IND,2024-10-24T00:00:00Z,Storm (Tropical cyclone) in India of October 2024,nat-met-sto-tro,IND,emdat-events
emdat-event-2024-0778-BGD,2024-10-24T00:00:00Z,Storm (Tropical cyclone) in Bangladesh of October 2024,nat-met-sto-tro,BGD,emdat-events
emdat-event-2024-0681-CHN,2024-09-20T00:00:00Z,Storm (Tropical cyclone) in China of September 2024,nat-met-sto-tro,CHN,emdat-events
emdat-event-2024-0666-CHN,2024-09-16T00:00:00Z,Storm (Tropical cyclone) in China of September 2024,nat-met-sto-tro,CHN,emdat-events
emdat-event-2024-0654-MMR,2024-09-08T00:00:00Z,Storm (Tropical cyclone) in Myanmar of September 2024,nat-met-sto-tro,MMR,emdat-events
