id,collection,datetime,title,country_codes,hazard_codes,impact_category,impact_type,impact_value,impact_unit,standardized_value,estimate_type,description
emdat-impact-2020-0569-NOR-total_deaths,emdat-impacts,2020-12-30T00:00:00Z,Landslide (wet) in Norway - total_deaths,NOR,nat-hyd-mmw-lan,people,death,10.0,count,,primary,
emdat-impact-2020-0572-HRV-total_deaths,emdat-impacts,2020-12-29T00:00:00Z,Ground movement in Croatia - total_deaths,HRV,nat-geo-ear-gro,people,death,8.0,count,,primary,
emdat-impact-2020-0571-PNG-total_deaths,emdat-impacts,2020-12-29T00:00:00Z,Landslide (wet) in Papua New Guinea - total_deaths,PNG,nat-hyd-mmw-lan,people,death,13.0,count,,primary,
emdat-impact-2020-0574-IRN-total_deaths,emdat-impacts,2020-12-25T00:00:00Z,Avalanche (wet) in Iran (Islamic Republic of) - total_deaths,IRN,nat-hyd-mmw-ava,people,death,12.0,count,,primary,
emdat-impact-2020-0604-ZMB-total_deaths,emdat-impacts,2020-12-22T00:00:00Z,Flood (General) in Zambia - total_deaths,ZMB,nat-hyd-flo-flo,people,death,3.0,count,,primary,
emdat-impact-2020-0568-PHL-total_deaths,emdat-impacts,2020-12-21T00:00:00Z,Landslide (wet) in Philippines - total_deaths,PHL,nat-hyd-mmw-lan,people,death,10.0,count,,primary,
emdat-impact-2020-0558-VNM-total_deaths,emdat-impacts,2020-12-21T00:00:00Z,Storm (Tropical cyclone) in Viet Nam of December 2020 - total_deaths,VNM,nat-met-sto-tro,people,death,1.0,count,,primary,
emdat-impact-2020-0558-PHL-total_deaths,emdat-impacts,2020-12-18T00:00:00Z,Storm (Tropical cyclone) in Philippines of December 2020 - total_deaths,PHL,nat-met-sto-tro,people,death,9.0,count,,primary,
emdat-impact-2020-0560-BRA-total_deaths,emdat-impacts,2020-12-17T00:00:00Z,Flood (General) in Brazil - total_deaths,BRA,nat-hyd-flo-flo,people,death,21.0,count,,primary,
emdat-impact-2020-0554-FJI-total_deaths,emdat-impacts,2020-12-17T00:00:00Z,Storm (Tropical cyclone) in Fiji of December 2020 - total_deaths,FJI,nat-met-sto-tro,people,death,5.0,count,,primary,
emdat-impact-2020-0561-THA-total_deaths,emdat-impacts,2020-12-16T00:00:00Z,Flood (General) in Thailand - total_deaths,THA,nat-hyd-flo-flo,people,death,1.0,count,,primary,
