id,collection_id,datetime,monty:country_codes,monty:hazard_codes,monty:corr_id
gdacs-event-1512916,gdacs-events,2025-12-02T07:34:30Z,[''],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251202--GH0101-1-GCDB
gdacs-event-1512907,gdacs-events,2025-12-02T05:59:28Z,[''],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251202--GH0101-1-GCDB
gdacs-event-1512903,gdacs-events,2025-12-02T05:14:00Z,[''],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251202--GH0101-1-GCDB
gdacs-event-1512899,gdacs-events,2025-12-02T04:48:24Z,['VEN'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251202-VEN-GH0101-1-GCDB
gdacs-event-1512888,gdacs-events,2025-12-02T01:56:30Z,['PNG'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251202-PNG-GH0101-1-GCDB
gdacs-event-1512873,gdacs-events,2025-12-02T00:50:57Z,['RUS'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251202-RUS-GH0101-1-GCDB
gdacs-event-1026003,gdacs-events,2025-12-02T00:00:00Z,['NER'],"['EN0205', 'WF', 'nat-cli-wil-wil']",20251202-NER-EN0205-1-GCDB
gdacs-event-1512864,gdacs-events,2025-12-01T23:26:57Z,['PER'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251201-PER-GH0101-1-GCDB
gdacs-event-1512862,gdacs-events,2025-12-01T23:08:05Z,[''],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251201--GH0101-1-GCDB
gdacs-event-1512855,gdacs-events,2025-12-01T22:21:07Z,['USA'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251201-USA-GH0101-1-GCDB
gdacs-event-1512845,gdacs-events,2025-12-01T21:12:19Z,['NCL'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251201-NCL-GH0101-1-GCDB
gdacs-event-1512837,gdacs-events,2025-12-01T20:05:14Z,['SLB'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251201-SLB-GH0101-1-GCDB
gdacs-event-1512833,gdacs-events,2025-12-01T18:55:16Z,['MMR'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251201-MMR-GH0101-1-GCDB
gdacs-event-1512828,gdacs-events,2025-12-01T18:32:08Z,['PHL'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251201-PHL-GH0101-1-GCDB
gdacs-event-1512814,gdacs-events,2025-12-01T15:10:29Z,"['', 'FSM']","['GH0101', 'EQ', 'nat-geo-ear-gro']",20251201--GH0101-1-GCDB
gdacs-event-1512807,gdacs-events,2025-12-01T14:07:56Z,['RUS'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251201-RUS-GH0101-1-GCDB
gdacs-event-1512785,gdacs-events,2025-12-01T12:29:11Z,['CHL'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251201-CHL-GH0101-1-GCDB
gdacs-event-1512774,gdacs-events,2025-12-01T08:40:31Z,['PNG'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251201-PNG-GH0101-1-GCDB
gdacs-event-1512717,gdacs-events,2025-12-01T01:41:44Z,['PHL'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251201-PHL-GH0101-1-GCDB
gdacs-event-1512711,gdacs-events,2025-12-01T00:48:00Z,['JPN'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251201-JPN-GH0101-1-GCDB
gdacs-event-1026004,gdacs-events,2025-12-01T00:00:00Z,['AUS'],"['EN0205', 'WF', 'nat-cli-wil-wil']",20251201-AUS-EN0205-1-GCDB
gdacs-event-1025980,gdacs-events,2025-12-01T00:00:00Z,['SDN'],"['EN0205', 'WF', 'nat-cli-wil-wil']",20251201-SDN-EN0205-1-GCDB
gdacs-event-1512706,gdacs-events,2025-11-30T23:16:37Z,['IDN'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251130-IDN-GH0101-1-GCDB
gdacs-event-1512681,gdacs-events,2025-11-30T17:25:49Z,['JPN'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251130-JPN-GH0101-1-GCDB
gdacs-event-1512673,gdacs-events,2025-11-30T16:23:05Z,[''],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251130--GH0101-1-GCDB
gdacs-event-1512640,gdacs-events,2025-11-30T12:18:13Z,[''],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251130--GH0101-1-GCDB
gdacs-event-1512629,gdacs-events,2025-11-30T10:05:37Z,[''],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251130--GH0101-1-GCDB
gdacs-event-1512621,gdacs-events,2025-11-30T08:31:49Z,['IDN'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251130-IDN-GH0101-1-GCDB
gdacs-event-1512577,gdacs-events,2025-11-30T02:51:46Z,['ARG'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251130-ARG-GH0101-1-GCDB
gdacs-event-1026005,gdacs-events,2025-11-30T00:00:00Z,['AUS'],"['EN0205', 'WF', 'nat-cli-wil-wil']",20251130-AUS-EN0205-1-GCDB
gdacs-event-1025981,gdacs-events,2025-11-30T00:00:00Z,['SDN'],"['EN0205', 'WF', 'nat-cli-wil-wil']",20251130-SDN-EN0205-1-GCDB
gdacs-event-1025827,gdacs-events,2025-11-30T00:00:00Z,['SDN'],"['EN0205', 'WF', 'nat-cli-wil-wil']",20251130-SDN-EN0205-1-GCDB
gdacs-event-1512551,gdacs-events,2025-11-29T23:42:46Z,[''],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251129--GH0101-1-GCDB
gdacs-event-1512539,gdacs-events,2025-11-29T22:47:50Z,[''],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251129--GH0101-1-GCDB
gdacs-event-1512531,gdacs-events,2025-11-29T20:01:55Z,['PHL'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251129-PHL-GH0101-1-GCDB
gdacs-event-1512514,gdacs-events,2025-11-29T15:23:05Z,['IDN'],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251129-IDN-GH0101-1-GCDB
gdacs-event-1512503,gdacs-events,2025-11-29T13:41:32Z,[''],"['GH0101', 'EQ', 'nat-geo-ear-gro']",20251129--GH0101-1-GCDB
